Date	Time	Severity	PID	TID	Function	Message
18-10-2024	17:03:03.078	 INFO	 40952	 24872	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
18-10-2024	17:03:03.079	 INFO	 40952	 24872	LateInitialization	"IsExplorer = 0"
18-10-2024	17:03:03.079	 INFO	 40952	 24872	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
18-10-2024	17:03:03.080	 INFO	 40952	 24872	LateInitialization	"Intialization finished"
19-10-2024	00:18:12.842	 INFO	 15848	 27832	DllMain	"DLL_PROCESS_ATTACH Wed Aug 14 03:12:52 2024 11.3.2432.1"
19-10-2024	00:18:12.844	 INFO	 15848	 15020	LateInitialization	"Intialization..."
19-10-2024	00:18:12.844	 INFO	 15848	 15020	LateInitialization	"Exe = C:\Program Files\Git\usr\bin\bash.exe"
19-10-2024	00:18:12.845	 INFO	 15848	 15020	LateInitialization	"IsExplorer = 0"
19-10-2024	00:18:12.846	 INFO	 15848	 15020	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
19-10-2024	00:18:12.847	 INFO	 15848	 15020	LateInitialization	"Intialization finished"
